cell_id,lon,lat,cluster_region,aridity_index,aridity_tier,kge_mean,kge_std,r_mean,r_std,alpha_mean,alpha_std,beta_mean,beta_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nrmse_mean,nrmse_std
1854,-109.0,36.5,Cold,0.30775222182273865,Semi-Arid,0.7925909549885861,0.02372900322576411,0.8904511861487621,0.0034210479178811526,0.8300203296432416,0.030539088836092246,1.01922810032235,0.0425696785043276,0.7844933522306125,0.010543873231750722,15.730528150846988,0.3822725956125731,11.73223445271292,0.5081598516497227,0.46411731401985123,0.011278663284395276
1855,-108.75,36.5,Cold,0.12532588839530945,Arid,0.7328878594905379,0.026591618953134867,0.8607082063351088,0.007849585420279682,0.7929583430454712,0.0352197055447606,1.0893403837848694,0.02790153165048703,0.7169682195858622,0.01634886123439711,18.138175469437094,0.5238028957780789,13.992881894247315,0.6080268624982688,0.531829930617366,0.015358438790507334
1856,-108.5,36.5,Cold,0.13754618167877197,Arid,0.7189493395819105,0.03340231368452919,0.8569489041350519,0.013532319610640305,0.7726530052707842,0.03115308076514952,1.0767666728947722,0.03383306018088701,0.7117354924663322,0.03313736108017739,18.058938763282068,1.015676922166045,13.890073335943518,0.9493959598730929,0.5362246526406823,0.030158527692169996
1857,-108.0,36.5,Cold,0.18468689918518066,Arid,0.8021339115485355,0.02155149223875262,0.9120349079922224,0.007830100647308503,0.8270539624056903,0.02223064071218029,1.0345417003694446,0.017205904772706025,0.820872979498413,0.013470357085620915,12.618184394571548,0.4795218807966936,9.408279475926454,0.4829688808581748,0.42298972227157644,0.01607464440514897
1858,-107.75,36.5,Cold,0.18928304314613342,Arid,0.8342490115256542,0.019721709106079826,0.9062712663229553,0.003337257553336812,0.9342181892885923,0.03708530934673359,1.1146903981412273,0.02261557260637412,0.78883924326834,0.010325069175008464,12.732490550218955,0.307848565565021,9.521389481192926,0.3662454425760709,0.4594148994026225,0.01110782036102619
1859,-107.5,36.5,Cold,0.2089298963546753,Semi-Arid,0.8369819961667773,0.022405443371897205,0.9060767059830793,0.0038355162547591653,0.9698100307222642,0.042713157280312455,1.122967238456819,0.02853093843556718,0.7799695566402869,0.016807117860644805,12.769646109898886,0.4778272452576619,9.6105217732139,0.46370356399275636,0.46881153272885445,0.017542453510532297
1860,-107.25,36.5,Cold,0.2445579469203949,Semi-Arid,0.8312866792328517,0.028864668518989403,0.9177453710551298,0.004738063266268812,0.8996836294551167,0.03689566582251655,1.095898266533628,0.04997565218352142,0.8172424570537968,0.023086624791339203,11.865863328629237,0.7227531153029138,9.218136665265401,0.8284295890985968,0.4268684979976062,0.02600068180526451
1861,-107.0,36.5,Cold,0.29736095666885376,Semi-Arid,0.778907359660651,0.035147842583901016,0.9004415387981372,0.009144562596315133,0.8071416188733748,0.03907790113581659,0.9860957204912235,0.04003305853816868,0.7972705134884597,0.018653150276978454,9.634373489295125,0.45464628631695087,7.119468392810374,0.42726068844984805,0.4498543791823856,0.021228637555512974
1862,-106.75,36.5,Cold,0.2849385738372803,Semi-Arid,0.7287143212193813,0.029574542720015962,0.9006803354608724,0.010983811932417615,0.7523820309198385,0.030252143428616613,0.9594496089261639,0.028363372861754776,0.7829173124739811,0.019457886077381564,9.739304444154161,0.44035186532076126,7.062805864105895,0.35461481609849127,0.46554080612585336,0.021048912017890473
1863,-106.5,36.5,Cold,0.26940298080444336,Semi-Arid,0.8500926616602993,0.02441802060971407,0.914127227647486,0.004779800459885158,0.8919942559790179,0.038247040967375766,1.0438448060224277,0.03160132465887684,0.8285311222503997,0.011666100989332892,9.043049068127416,0.307179870105787,6.716014372400137,0.25668640805413623,0.4138970184821841,0.014059509289034258
1864,-106.25,36.5,Cold,0.48704689741134644,Semi-Arid,0.8602824740379905,0.018714951960236793,0.9081035269717701,0.007223581562919817,0.9524666087977194,0.050235909603710265,1.0798661639050384,0.028669147961564004,0.8070821836899631,0.022097656752760497,9.57808322822602,0.5560040569034491,6.978757927644023,0.35651357705803316,0.4386332699060566,0.02546249304264637
