aridity_tier,month,kge_mean,kge_std,r_mean,r_std,alpha_mean,alpha_std,beta_mean,beta_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nrmse_mean,nrmse_std
Humid,10,0.5794813218775425,0.03997088963095669,0.8266529344415072,0.009573287674035015,0.6689298845019434,0.035980868511137354,0.8084791720135105,0.02890124584985676,0.6077919399991434,0.026650162895027866,9.861615589461184,0.333313968619499,6.642892927134973,0.22836974172010904,0.6259791901659447,0.021157548299733674
Humid,11,0.3103574432446289,0.029866052628893216,0.6038165510586335,0.056758171446749404,0.46535107946879944,0.022130984050014887,0.8307623290786923,0.04872424811973865,0.3082601346952769,0.04991442232746053,9.398488531199593,0.337814227383777,5.885774706563143,0.30798778941551425,0.8312795308863091,0.029879065291625657
Humid,12,0.6022317421824125,0.033588319605632355,0.6818013412794477,0.03218291789651243,0.7750840249070106,0.03062718679583974,1.0662558073526331,0.04055399188976508,0.44871265081771766,0.05210818989495006,5.095706641966335,0.2362002400192243,3.4515350321142746,0.13048689952809608,0.7418499757509499,0.03438681906990899
Semi-Arid,1,0.6010322326235297,0.012743714349559156,0.674640294194443,0.0093108128860021,0.7952407159605974,0.04010595119471506,1.099320916848515,0.01933621206448278,0.4099177120760508,0.026786822892716746,12.971452538033862,0.29566379387559616,9.919363566647288,0.21151764798392814,0.7680085498823074,0.017505543108706955
Semi-Arid,2,0.5791187183155924,0.016533849869562935,0.6639514351105846,0.018906267445186094,0.7637248046548223,0.03925480115738398,1.0809223213987589,0.025932863687410067,0.41114466958430274,0.03785751636837076,14.437207520597742,0.470319028559822,10.752839599796001,0.35408991749949753,0.767043554943067,0.024987877961108577
Semi-Arid,3,0.6853878066749136,0.009949816212020577,0.7419918418255218,0.011685788927602742,0.8435322854980173,0.032347243479745526,1.0818197177171793,0.0214734787204397,0.5196149824000127,0.02852207222718627,16.069327869251957,0.48134901719598355,12.045817437492556,0.3915982242107741,0.6928495043075451,0.02075397494386216
Semi-Arid,4,0.641012168309424,0.02584625336867249,0.7660196761172509,0.013861150061003972,0.7348894535709288,0.023931773420706022,0.940387080943799,0.016228964608161346,0.5716120221067778,0.02397157706508037,22.366938320275406,0.624557337420883,15.447403438562674,0.4087785803564971,0.6543095068180451,0.018270439949173062
Semi-Arid,5,0.8448198382217159,0.01865886519168501,0.8879726780498294,0.003919519178556968,0.8971468253742796,0.026125088320833916,1.0188513296558646,0.019900687479564066,0.7856212164959997,0.006226563355402425,15.04480468365027,0.2177378483446286,11.534490898342614,0.10605056120811568,0.46297177778335125,0.00670041790894002
Semi-Arid,6,0.835745136810439,0.01210005027046856,0.8865262754207432,0.0013287391411795663,0.8840367978628049,0.016890809429626206,1.0159958538915728,0.018957824915570652,0.7833063250250907,0.0026821757256035982,14.664461636151128,0.09066374438835867,11.345902343917555,0.1351941819413578,0.4654965616143036,0.002877955040082573
Semi-Arid,7,0.8307136905380149,0.014425068230554883,0.8547198107871573,0.004016991614591724,0.9188801097335239,0.02873311095817731,1.0063133180696153,0.023030153517669502,0.7233922468576347,0.00508787621811553,11.72264998190019,0.1077282698710728,9.080415274071347,0.0571390804487386,0.5259173570397112,0.004833051149401562
Semi-Arid,8,0.7821615500315264,0.006473313258439245,0.792696243686434,0.005794408356272287,0.9419865627874362,0.03205586658473242,0.9985568831569033,0.019225680956389695,0.6027547025040867,0.018427617016404017,11.475382970554453,0.26666001311309306,9.032211691973007,0.19938301566305974,0.6301378948328121,0.014642873334192145
Semi-Arid,9,0.7876733919799868,0.018130327571890287,0.827169149292476,0.005262852134261779,0.8804202647071783,0.023805011270532524,0.979647922366935,0.018908709741270475,0.6776200036173328,0.011316461786037625,13.203623334499891,0.23125401934299677,10.1680509085473,0.22712739231448986,0.5677155117916699,0.009943217147231894
Semi-Arid,10,0.7376656224829442,0.009520763932681623,0.8521758829911059,0.010993616002193429,0.7881344875308859,0.014864299549090569,0.9578728027376725,0.011441716239326227,0.7168242626238944,0.017119386557000165,16.91217252008811,0.5066588713143143,12.830373457694979,0.27490970714523594,0.531951655688535,0.01593633373505405
Semi-Arid,11,0.5532429553700707,0.029066910585310378,0.6604134881056769,0.026014850341973383,0.7112024882035634,0.023686267837392937,0.9830921333740068,0.018324776503945414,0.4315043167140744,0.037113180536328734,15.729761459513503,0.5155965011952699,12.109424505151852,0.31104740770346795,0.753662695551897,0.0247038615244183
Semi-Arid,12,0.47849984941758744,0.02112035725614952,0.7150198838140842,0.006645760948233969,0.5649264947299171,0.023091903271602952,1.0328573289064082,0.018544381546482046,0.4867979345379462,0.012488784779766874,21.262325312247974,0.2582123122404037,12.893994270371229,0.25094722719256873,0.7163389721894982,0.008699309207277291
Sub-Humid,1,0.5476261042231075,0.023469855853343623,0.6480736072006718,0.021287860441471837,0.7238018153269217,0.03559036333192202,1.0593464101242283,0.007690233731898785,0.4041764869817923,0.033955643475931475,7.604164062586278,0.21481920959630688,6.026577811068823,0.12438050995943623,0.7716497564566499,0.021799265429160324
