units,n,kge,r,alpha,beta,r2,rmse,mae,nrmse,group,aridity_tier,month,seed
fwi,17478,0.7746856013835385,0.7858158100631865,0.9303429853703455,1.0062937522903903,0.5962960986348879,11.570791389727603,9.147355068927766,0.6353769757908387,Semi-Arid|8,Semi-Arid,8,0
fwi,16507,0.7956787460179549,0.8317043464875968,0.8845085711625104,0.9907545847738664,0.6885329837528598,12.979811847671636,10.01515730668272,0.5580923008312695,Semi-Arid|9,Semi-Arid,9,0
fwi,2839,0.5334688678721716,0.6141941791140385,0.7451907146464352,1.062268723389742,0.3506178282683824,7.941114089068179,6.23974208163888,0.8058425229110323,Sub-Humid|1,Sub-Humid,1,0
fwi,2839,0.6480779915467907,0.81753510476486,0.7177945974366015,0.8955214241837096,0.6352343315666307,13.07790841156419,10.070955744730812,0.6039583333586592,Sub-Humid|10,Sub-Humid,10,0
fwi,3006,0.30349327155606165,0.5663468353910955,0.46508738268727073,0.8954292228583618,0.28779521708432076,13.961444586077048,9.705496677861083,0.8439222611803051,Sub-Humid|11,Sub-Humid,11,0
fwi,2839,0.623473042629997,0.6981275001359482,0.7904356833827253,1.0820264631254737,0.46510136096460497,9.422002741886292,6.805540304527038,0.7313676497052596,Sub-Humid|12,Sub-Humid,12,0
fwi,2672,0.5760690486725186,0.6556256147168575,0.794372446047388,1.137262679959801,0.3523662210313888,6.190128910491305,4.800336839409044,0.8047569688847753,Sub-Humid|2,Sub-Humid,2,0
fwi,3006,0.46986930233122226,0.6514198919424242,0.6046620152998966,0.9430935616066626,0.4125204029474031,9.937184827641767,7.474235235568432,0.7664721763068747,Sub-Humid|3,Sub-Humid,3,0
fwi,3006,0.7527828204342054,0.7809135993693722,0.9010528253949617,0.942320371283594,0.5808780896635052,9.021529915073861,7.086529633475252,0.6473962544968072,Sub-Humid|4,Sub-Humid,4,0
fwi,2839,0.8615677213244834,0.8923436720015913,0.9727376777188591,1.0826460924970691,0.7772968395985012,8.269403437838983,6.455172986710599,0.4719143570622733,Sub-Humid|5,Sub-Humid,5,0
fwi,2839,0.8122835548602771,0.8489192685081038,0.8888206136173806,1.0071568422752206,0.7189347773341489,10.730685034846394,8.195559450143698,0.5301558475258489,Sub-Humid|6,Sub-Humid,6,0
fwi,3006,0.8027657455205138,0.8567950455650927,0.8654739086240109,0.9827830634410807,0.7327362504097097,9.076260588046978,7.166824217949617,0.5169755792977946,Sub-Humid|7,Sub-Humid,7,0
fwi,3006,0.6678140630757139,0.711874091919201,0.8482710241211567,0.9343549266004054,0.4493875933842649,10.23870783828603,7.810710172787568,0.7420326182963489,Sub-Humid|8,Sub-Humid,8,0
fwi,2839,0.7208388768877815,0.9007900850119308,0.7779862110780454,0.86289346130161,0.7414486600110985,11.47213172187112,8.798176005471504,0.5084794391014267,Sub-Humid|9,Sub-Humid,9,0
fwi,9741,0.6680138850949879,0.7478138618687781,0.7906216430428026,1.0527032813218358,0.5500628582087862,14.35718644099146,10.824808467853392,0.6707735398711057,Arid|1,Arid,1,1
fwi,9741,0.7850646545854145,0.8426442003742655,0.8544898771851561,0.9837778179321682,0.7089005103013122,17.646694775613444,13.072987525218416,0.5395363655016109,Arid|10,Arid,10,1
fwi,10314,0.7229376379576142,0.7696316392039473,0.8463109973135338,1.00858261369777,0.5861390203663344,15.296509836929548,11.750990293092801,0.6433202776484397,Arid|11,Arid,11,1
fwi,9741,0.6315208242652208,0.7576747688317453,0.7326471134081486,1.0746847997951317,0.563052837196545,15.695468573017623,11.28232937052185,0.6610197900240621,Arid|12,Arid,12,1
fwi,9168,0.606015968617692,0.707328579209769,0.7567500653279364,1.1019623740353264,0.47157287994027264,16.663296626612265,12.755882574637496,0.7269299278883262,Arid|2,Arid,2,1
fwi,10314,0.6969154681605467,0.8087429371550184,0.8123584234320866,1.141674302875854,0.6021912894691999,17.15948643462269,13.531634280021894,0.6307207865060418,Arid|3,Arid,3,1
fwi,10314,0.5819434953755824,0.743315451190032,0.672191179878679,0.9622420748494284,0.5401462012809125,25.4209274775964,17.869636516069438,0.6781252087329356,Arid|4,Arid,4,1
fwi,9741,0.7290954806384278,0.7799205952992431,0.8420614267607995,0.9968820968182774,0.604313853711725,17.499451111099592,13.837182562445625,0.629035886327859,Arid|5,Arid,5,1
fwi,9741,0.7572617473750903,0.8061500607766525,0.8541114071152462,0.9922167605326866,0.6468883422355893,16.63656261391496,12.974512763669019,0.5942319898527937,Arid|6,Arid,6,1
fwi,10314,0.8266147915839359,0.8948205697347004,0.8622740191179129,1.0055921495523559,0.7994620184285058,12.215378498756545,9.613991669500924,0.44781467324273133,Arid|7,Arid,7,1
fwi,10314,0.8406193964428912,0.8502492075191638,0.9583902322494867,1.0352917011397604,0.7020602492076433,12.317539180318768,9.615536494108305,0.5458385757642608,Arid|8,Arid,8,1
fwi,9741,0.8151756368819806,0.8291747674411346,0.9296160982558538,1.0049891380479428,0.6772842064022631,14.468108632954573,10.868190193936602,0.5680807984765345,Arid|9,Arid,9,1
fwi,4658,0.48973144896673404,0.6882416991130847,0.5977716037077836,0.9626761039294659,0.46398936972722993,4.990381034063319,3.3825835057092934,0.7321274685959884,Humid|1,Humid,1,1
fwi,4658,0.5915425439637036,0.841104098654402,0.6783584609505184,0.8047148078191955,0.6302829602609978,9.579060299686404,6.575963630600799,0.6080436166419331,Humid|10,Humid,10,1
fwi,4932,0.31567568805192203,0.652489043269308,0.445883027942091,0.7987780326288803,0.3359584397102212,9.213158862037506,5.661061996870859,0.8148874525293531,Humid|11,Humid,11,1
fwi,4658,0.6149887725065094,0.6972588049659478,0.7645375557317202,1.0337468734048891,0.4802416402276183,4.952096198944046,3.3113010297863243,0.7209426882716696,Humid|12,Humid,12,1
fwi,4384,0.5441069351732044,0.6884627159161836,0.6671766753725015,0.9965879966666202,0.4735122614090387,3.934092983151345,2.6261754236494146,0.7255947481831448,Humid|2,Humid,2,1
fwi,4932,0.5316920112481109,0.6886279488123241,0.6572539991815486,0.9301072465059719,0.4635739410727301,5.495706867278232,3.80690653039707,0.7324111269821547,Humid|3,Humid,3,1
fwi,4932,0.6342380981974167,0.7556963068673034,0.782309392076901,0.8365733389130178,0.4991908858103361,5.756032564610306,4.039969775054311,0.7076786800445974,Humid|4,Humid,4,1
fwi,4658,0.7364565539001504,0.8799835096692703,0.8061597555234926,0.8677988288547863,0.7446453926840613,5.315176771867349,3.716206285292113,0.5053262384993863,Humid|5,Humid,5,1
fwi,4658,0.66572349815215,0.8398290996041693,0.7716699416275082,0.8157408162461393,0.6286197245721301,7.714326555546839,5.7333415389089515,0.6094097762818299,Humid|6,Humid,6,1
fwi,4932,0.7717060717471284,0.8844131768054083,0.9382429442228731,0.8130672044753774,0.6731369906488652,7.267922144986269,5.743761204243915,0.5717193449159603,Humid|7,Humid,7,1
fwi,4932,0.6218119236611673,0.7520659152836978,0.8390011161660255,0.7641308198916811,0.2700640145453522,9.871791996972725,7.991029039404723,0.8543629120313263,Humid|8,Humid,8,1
fwi,4658,0.5983227466969427,0.8673370450862901,0.7222945570484464,0.7418821138128301,0.5941338038332686,11.028279557989004,7.991267384026991,0.6370762875564681,Humid|9,Humid,9,1
fwi,16507,0.6116344978046188,0.6686189572547456,0.8231769424660467,1.0987318293605604,0.39531667928175795,13.133683635349614,10.003003214813234,0.7776138635069736,Semi-Arid|1,Semi-Arid,1,1
