cell_id,centroid_mean,lon,lat
248,30.20566166347439,-98.75,30.25
249,30.198967127257045,-98.5,30.25
250,30.155980687675765,-98.25,30.25
251,30.153515762181577,-98.0,30.25
252,30.319925645200644,-97.5,30.25
253,30.33472250414511,-97.25,30.25
254,30.46375749991141,-97.0,30.25
255,30.457147817602024,-96.75,30.25
256,30.601296808165408,-96.5,30.25
257,30.543222962663723,-96.25,30.25
258,30.83639929877245,-96.0,30.25
259,30.760766606739846,-95.75,30.25
260,30.89893246532973,-95.25,30.25
261,31.019234377657995,-95.0,30.25
262,31.10435233932087,-94.25,30.25
263,30.923434227877387,-94.0,30.25
264,29.869090797717664,-104.75,30.5
265,29.869668248062506,-104.5,30.5
266,30.13194354762359,-104.25,30.5
267,30.177725297145887,-104.0,30.5
268,29.975622880120333,-103.75,30.5
269,30.078367945827686,-103.5,30.5
270,30.182776986616844,-103.25,30.5
271,30.394010687305126,-103.0,30.5
272,30.396662369648066,-102.75,30.5
273,30.41291488283493,-102.5,30.5
274,30.36710997415671,-102.25,30.5
275,30.216621958476026,-102.0,30.5
276,30.143284277985984,-101.75,30.5
277,30.10437685591527,-101.5,30.5
278,30.082235106029728,-101.25,30.5
279,30.197347122849003,-101.0,30.5
280,30.185896738835325,-100.75,30.5
281,30.241955316182263,-100.5,30.5
282,30.29205372771069,-100.25,30.5
283,30.178813526601655,-100.0,30.5
284,30.063059389577784,-99.75,30.5
285,30.055370481861665,-99.5,30.5
286,30.11750858642895,-99.25,30.5
287,30.262387262843102,-99.0,30.5
288,30.29968853211344,-98.75,30.5
289,30.246241870895922,-98.5,30.5
290,30.22046478622584,-98.25,30.5
291,30.34941295567506,-98.0,30.5
292,30.4284701901488,-97.25,30.5
293,30.28848702191205,-97.0,30.5
294,30.508917733361997,-96.75,30.5
295,30.47559341062935,-96.5,30.5
296,30.71145756973867,-96.25,30.5
297,30.69689458588926,-96.0,30.5
298,30.740261709192193,-95.75,30.5
299,30.675327536090315,-95.5,30.5
300,30.986935235421136,-95.25,30.5
301,31.01070940007384,-94.75,30.5
302,31.09572516940534,-94.5,30.5
303,31.06130416996446,-94.25,30.5
304,31.06472459307406,-94.0,30.5
305,31.033500006395535,-93.75,30.5
306,29.93307291014935,-105.0,30.75
307,30.1192476593446,-104.75,30.75
308,29.979837253521858,-104.5,30.75
309,30.07278606728785,-104.25,30.75
310,30.22134425049836,-104.0,30.75
