lag,month,attn
36,4,0.01663954
36,5,0.017034076
36,6,0.015823238
36,7,0.016714968
36,8,0.017602393
36,9,0.015701713
36,10,0.01506706
36,11,0.014276902
36,12,0.016769283
37,1,0.017564347
37,2,0.017591575
37,3,0.018552816
37,4,0.016722215
37,5,0.017030448
37,6,0.016059028
37,7,0.01614517
37,8,0.01764224
37,9,0.016156465
37,10,0.015327579
37,11,0.014172006
37,12,0.015846571
38,1,0.017457135
38,2,0.017770698
38,3,0.018155344
38,4,0.01710161
38,5,0.017076802
38,6,0.016174566
38,7,0.015754018
38,8,0.017516533
38,9,0.016549617
38,10,0.015353748
38,11,0.0143468855
38,12,0.01531824
39,1,0.01717166
39,2,0.017758332
39,3,0.017806858
39,4,0.017346257
39,5,0.01669675
39,6,0.01684954
39,7,0.015280099
39,8,0.017259885
39,9,0.017284745
39,10,0.0152080115
39,11,0.014493394
39,12,0.015006137
40,1,0.01700217
40,2,0.017701367
40,3,0.017752992
40,4,0.0175546
40,5,0.016301671
40,6,0.017053464
40,7,0.015188872
40,8,0.017168162
40,9,0.017449493
40,10,0.015530894
40,11,0.014701136
40,12,0.014445337
41,1,0.016473688
41,2,0.017669965
41,3,0.017563203
41,4,0.017986486
41,5,0.016090605
41,6,0.017166363
41,7,0.015509238
41,8,0.016485298
41,9,0.017444203
41,10,0.016058372
41,11,0.01498006
41,12,0.014027918
42,1,0.015873801
42,2,0.017481
42,3,0.017662682
42,4,0.017998751
42,5,0.016058223
42,6,0.017192395
42,7,0.015842365
42,8,0.015889034
42,9,0.017448723
42,10,0.016367767
42,11,0.015209866
42,12,0.013979419
43,1,0.0155676585
43,2,0.017370373
43,3,0.017737154
43,4,0.017491303
43,5,0.01637291
43,6,0.01678326
43,7,0.016485574
43,8,0.015535709
43,9,0.01732617
43,10,0.016782897
43,11,0.015168486
43,12,0.014132624
44,1,0.015282571
44,2,0.016961366
44,3,0.01774673
44,4,0.017210975
44,5,0.016847566
44,6,0.016377544
44,7,0.01680057
44,8,0.015514611
44,9,0.01691447
44,10,0.01714426
44,11,0.015331855
44,12,0.014439409
45,1,0.014700637
45,2,0.01645819
45,3,0.017694527
45,4,0.017181182
45,5,0.017278228
45,6,0.016000543
45,7,0.01681039
45,8,0.015689867
45,9,0.016529793
45,10,0.01741106
45,11,0.015830265
45,12,0.014663387
46,1,0.01471784
46,2,0.015741363
46,3,0.017623652
46,4,0.017164089
46,5,0.017347382
46,6,0.015933314
46,7,0.017001057
46,8,0.015899723
46,9,0.015999049
46,10,0.017485762
46,11,0.016345024
46,12,0.014816863
47,1,0.014761831
47,2,0.015227704
47,3,0.017448017
47,4,0.017271454
47,5,0.016912175
47,6,0.016274085
47,7,0.016988931
47,8,0.016289879
47,9,0.015588952
47,10,0.017530533
47,11,0.016679183
47,12,0.014989272
48,1,0.014902975
48,2,0.014847931
48,3,0.017093442
48,4,0.017293751
48,5,0.016601028
48,6,0.016786195
48,7,0.016408384
48,8,0.017092353
48,9,0.015319024
48,10,0.017231429
48,11,0.017229624
48,12,0.015079566
49,1,0.015016571
49,2,0.014252327
49,3,0.016562179
49,4,0.017288731
49,5,0.016618425
49,6,0.017142357
49,7,0.016184816
49,8,0.017210377
49,9,0.015385069
49,10,0.016987832
49,11,0.01742693
49,12,0.015523653
50,1,0.015044964
50,2,0.014077886
50,3,0.015609462
50,4,0.017246373
50,5,0.016526667
50,6,0.017451929
50,7,0.016285975
50,8,0.01736661
50,9,0.01578497
50,10,0.016446736
50,11,0.017464874
50,12,0.016044486
51,1,0.014906297
51,2,0.014292532
51,3,0.014829975
51,4,0.01705003
51,5,0.016731752
51,6,0.017148986
51,7,0.016701614
51,8,0.017525896
51,9,0.016304594
51,10,0.015909499
51,11,0.017374791
51,12,0.016411925
52,1,0.014746116
52,2,0.014622333
52,3,0.014322267
52,4,0.016756227
52,5,0.01678242
52,6,0.01679288
52,7,0.01701171
52,8,0.017214024
52,9,0.017159574
52,10,0.015506721
52,11,0.017231818
52,12,0.016803807
53,1,0.014659263
53,2,0.01498659
53,3,0.01361978
53,4,0.016489536
53,5,0.016787915
53,6,0.016714947
53,7,0.017301131
53,8,0.016921073
53,9,0.017333115
53,10,0.0154883405
53,11,0.01731854
53,12,0.017100524
54,1,0.015066244
54,2,0.015067853
54,3,0.013554716
54,4,0.015770046
54,5,0.016727526
54,6,0.016608242
54,7,0.017751735
54,8,0.016639577
54,9,0.017535506
54,10,0.015865145
54,11,0.01680801
54,12,0.017134255
55,1,0.0154476985
55,2,0.014898631
55,3,0.014141519
55,4,0.015173628
55,5,0.01668499
55,6,0.016670605
55,7,0.017708024
55,8,0.016504247
55,9,0.01770354
55,10,0.016186398
55,11,0.016319372
55,12,0.01706455
56,1,0.015816959
56,2,0.014944241
56,3,0.014681831
56,4,0.014907417
56,5,0.016526032
56,6,0.016953794
56,7,0.017115196
56,8,0.016781408
56,9,0.017364657
56,10,0.01672952
56,11,0.015918382
56,12,0.017140685
57,1,0.016533187
57,2,0.015211504
57,3,0.015258885
57,4,0.014977503
57,5,0.016418368
57,6,0.01702764
57,7,0.016787708
57,8,0.017056797
57,9,0.016397
57,10,0.017399842
57,11,0.015792206
57,12,0.016830407
58,1,0.017140917
58,2,0.016104508
58,3,0.015986916
58,4,0.015363713
58,5,0.016590003
58,6,0.017061524
58,7,0.016774613
58,8,0.017208634
58,9,0.01607944
58,10,0.01704934
58,11,0.015995668
58,12,0.01670429
59,1,0.017930768
59,2,0.017530369
59,3,0.017418737
59,4,0.017031468
59,5,0.017247753
59,6,0.017572407
59,7,0.017336452
59,8,0.017503137
59,9,0.016682869
59,10,0.017109862
59,11,0.016720222
59,12,0.016842104
60,1,0.019483354
60,2,0.019893816
60,3,0.020133944
60,4,0.020098902
60,5,0.01957348
60,6,0.019100934
60,7,0.018820569
60,8,0.018599046
60,9,0.0185988
60,10,0.018395117
60,11,0.018481521
60,12,0.018749809
